subject,sex,experiment,condition,testorder,day,trial,elongation
l1,Male,grasping,Fake Tail,AB,5,1,76.1604
l1,Male,grasping,Fake Tail,AB,5,2,76.4817
l1,Male,grasping,Fake Tail,AB,5,3,75.9987
l1,Male,grasping,Fake Tail,AB,5,4,77.377
l1,Male,grasping,Fake Tail,AB,5,5,76.8604
a1,Female,grasping,Fake Tail,AB,6,1,72.9757
a1,Female,grasping,Fake Tail,AB,6,2,72.5214
a1,Female,grasping,Fake Tail,AB,6,3,78.1515
a1,Female,grasping,Fake Tail,AB,6,4,78.4083
a1,Female,grasping,Fake Tail,AB,6,5,78.3008
d1,Female,grasping,Fake Tail,AB,6,1,73.6532
d1,Female,grasping,Fake Tail,AB,6,2,70.6283
d1,Female,grasping,Fake Tail,AB,6,3,71.2305
d1,Female,grasping,Fake Tail,AB,6,4,70.5339
d1,Female,grasping,Fake Tail,AB,6,5,71.1724
f2,Female,grasping,Fake Tail,AB,6,1,77.4349
f2,Female,grasping,Fake Tail,AB,6,2,76.2892
f2,Female,grasping,Fake Tail,AB,6,3,77.4295
f2,Female,grasping,Fake Tail,AB,6,4,77.0904
f2,Female,grasping,Fake Tail,AB,6,5,76.0767
h2,Male,grasping,Fake Tail,AB,6,1,76.6484
h2,Male,grasping,Fake Tail,AB,6,2,74.124
h2,Male,grasping,Fake Tail,AB,6,3,75.7024
h2,Male,grasping,Fake Tail,AB,6,4,75.1315
h2,Male,grasping,Fake Tail,AB,6,5,73.8912
l1,Male,grasping,Fake Tail,AB,6,1,79.6025
l1,Male,grasping,Fake Tail,AB,6,2,76.5108
l1,Male,grasping,Fake Tail,AB,6,3,78.3832
l1,Male,grasping,Fake Tail,AB,6,4,75.8119
a2,Female,grasping,Real Tail,BA,3,1,75.6005
a2,Female,grasping,Real Tail,BA,3,2,76.5023
a2,Female,grasping,Real Tail,BA,3,3,75.3674
a2,Female,grasping,Real Tail,BA,3,4,75.8688
a2,Female,grasping,Real Tail,BA,3,5,75.5514
b1,Female,grasping,Real Tail,BA,3,1,73.8297
c2,Female,grasping,Real Tail,BA,3,1,74.637200000000007
c2,Female,grasping,Real Tail,BA,3,2,73.963
c2,Female,grasping,Real Tail,BA,3,3,69.6502
c2,Female,grasping,Real Tail,BA,3,4,72.9624
c2,Female,grasping,Real Tail,BA,3,5,69.672
g2,Male,grasping,Real Tail,BA,3,1,67.0687
g2,Male,grasping,Real Tail,BA,3,2,68.9864
g2,Male,grasping,Real Tail,BA,3,3,67.5247
g2,Male,grasping,Real Tail,BA,3,4,68.6871
g2,Male,grasping,Real Tail,BA,3,5,61.696
i2,Male,grasping,Real Tail,BA,3,1,66.2415
i2,Male,grasping,Real Tail,BA,3,2,65.6466
i2,Male,grasping,Real Tail,BA,3,3,65.737
i2,Male,grasping,Real Tail,BA,3,4,67.1174
i2,Male,grasping,Real Tail,BA,3,5,66.2661
a2,Female,grasping,Real Tail,BA,4,1,78.2557
a2,Female,grasping,Real Tail,BA,4,2,78.3795
a2,Female,grasping,Real Tail,BA,4,3,78.0546
a2,Female,grasping,Real Tail,BA,4,4,77.8699
a2,Female,grasping,Real Tail,BA,4,5,77.3355
b1,Female,grasping,Real Tail,BA,4,1,77.2269
c2,Female,grasping,Real Tail,BA,4,1,73.2226
c2,Female,grasping,Real Tail,BA,4,2,73.9008
c2,Female,grasping,Real Tail,BA,4,3,76.9402
c2,Female,grasping,Real Tail,BA,4,4,75.4103
c2,Female,grasping,Real Tail,BA,4,5,74.4428
g2,Male,grasping,Real Tail,BA,4,1,66.0928
i2,Male,grasping,Real Tail,BA,4,1,69.8395
i2,Male,grasping,Real Tail,BA,4,2,70.6404
i2,Male,grasping,Real Tail,BA,4,3,72.6065
i2,Male,grasping,Real Tail,BA,4,4,71.355
i2,Male,grasping,Real Tail,BA,4,5,72.2082
a2,Female,grasping,Real Tail,BA,5,1,77.1115
a2,Female,grasping,Real Tail,BA,5,2,78.5297
a2,Female,grasping,Real Tail,BA,5,3,78.3414
a2,Female,grasping,Real Tail,BA,5,4,78.15
a2,Female,grasping,Real Tail,BA,5,5,78.2926
b1,Female,grasping,Real Tail,BA,5,1,78.4071
c2,Female,grasping,Real Tail,BA,5,1,76.3326
c2,Female,grasping,Real Tail,BA,5,2,76.7969
c2,Female,grasping,Real Tail,BA,5,3,77.032
c2,Female,grasping,Real Tail,BA,5,4,75.5252
c2,Female,grasping,Real Tail,BA,5,5,76.8712
g2,Male,grasping,Real Tail,BA,5,1,73.0174
g2,Male,grasping,Real Tail,BA,5,2,67.029
a2,Female,grasping,Real Tail,BA,6,1,75.7519
a2,Female,grasping,Real Tail,BA,6,2,77.639
a2,Female,grasping,Real Tail,BA,6,3,76.9307
a2,Female,grasping,Real Tail,BA,6,4,75.9084
a2,Female,grasping,Real Tail,BA,6,5,75.1643
b1,Female,grasping,Real Tail,BA,6,1,75.0363
b1,Female,grasping,Real Tail,BA,6,2,74.893
b1,Female,grasping,Real Tail,BA,6,3,75.2764
b1,Female,grasping,Real Tail,BA,6,4,70.8767
b1,Female,grasping,Real Tail,BA,6,5,72.4385
c2,Female,grasping,Real Tail,BA,6,1,75.2908
c2,Female,grasping,Real Tail,BA,6,2,75.1609
c2,Female,grasping,Real Tail,BA,6,3,74.7272
c2,Female,grasping,Real Tail,BA,6,4,74.9179
c2,Female,grasping,Real Tail,BA,6,5,73.2927
g2,Male,grasping,Real Tail,BA,6,1,67.5042
g2,Male,grasping,Real Tail,BA,6,2,66.7219
i2,Male,grasping,Real Tail,BA,6,1,69.4621
i2,Male,grasping,Real Tail,BA,6,2,70.5388
i2,Male,grasping,Real Tail,BA,6,3,70.2775
i2,Male,grasping,Real Tail,BA,6,4,68.3948
i2,Male,grasping,Real Tail,BA,6,5,68.0452
b2,Female,grasping,Real Tail,AB,3,1,74.229
b2,Female,grasping,Real Tail,AB,3,2,74.8063
b2,Female,grasping,Real Tail,AB,3,3,74.4704
b2,Female,grasping,Real Tail,AB,3,4,74.6499
b2,Female,grasping,Real Tail,AB,3,5,75.385
e2,Female,grasping,Real Tail,AB,3,1,77.8214
e2,Female,grasping,Real Tail,AB,3,2,75.9486
e2,Female,grasping,Real Tail,AB,3,3,76.9251
e2,Female,grasping,Real Tail,AB,3,4,75.9252
e2,Female,grasping,Real Tail,AB,3,5,76.6024
g1,Male,grasping,Real Tail,AB,3,1,78.5657
g1,Male,grasping,Real Tail,AB,3,2,76.6642
g1,Male,grasping,Real Tail,AB,3,3,76.6699
g1,Male,grasping,Real Tail,AB,3,4,78.2326
g1,Male,grasping,Real Tail,AB,3,5,79.3083
h1,Male,grasping,Real Tail,AB,3,1,69.9887
h1,Male,grasping,Real Tail,AB,3,2,70.4208
h1,Male,grasping,Real Tail,AB,3,3,69.9698
h1,Male,grasping,Real Tail,AB,3,4,73.1122
h1,Male,grasping,Real Tail,AB,3,5,73.1641
b2,Female,grasping,Real Tail,AB,4,1,76.73
b2,Female,grasping,Real Tail,AB,4,2,76.8809
b2,Female,grasping,Real Tail,AB,4,3,77.8395
b2,Female,grasping,Real Tail,AB,4,4,76.5749
b2,Female,grasping,Real Tail,AB,4,5,75.5643
e2,Female,grasping,Real Tail,AB,4,1,74.0627
e2,Female,grasping,Real Tail,AB,4,2,73.7721
e2,Female,grasping,Real Tail,AB,4,3,75.4413
e2,Female,grasping,Real Tail,AB,4,4,75.2533
e2,Female,grasping,Real Tail,AB,4,5,74.3844
g1,Male,grasping,Real Tail,AB,4,1,79.1318
g1,Male,grasping,Real Tail,AB,4,2,76.2017
g1,Male,grasping,Real Tail,AB,4,3,77.3882
g1,Male,grasping,Real Tail,AB,4,4,77.6747
g1,Male,grasping,Real Tail,AB,4,5,78.2482
h1,Male,grasping,Real Tail,AB,4,1,71.4758
h1,Male,grasping,Real Tail,AB,4,2,71.4289
h1,Male,grasping,Real Tail,AB,4,3,71.8316
h1,Male,grasping,Real Tail,AB,4,4,69.9737
h1,Male,grasping,Real Tail,AB,4,5,69.4939
b2,Female,grasping,Real Tail,AB,5,1,76.9528
b2,Female,grasping,Real Tail,AB,5,2,77.4609
b2,Female,grasping,Real Tail,AB,5,3,77.1822
b2,Female,grasping,Real Tail,AB,5,4,73.3546
b2,Female,grasping,Real Tail,AB,5,5,78.0228
e2,Female,grasping,Real Tail,AB,5,1,74.5425
e2,Female,grasping,Real Tail,AB,5,2,72.5999
e2,Female,grasping,Real Tail,AB,5,3,75.2863
e2,Female,grasping,Real Tail,AB,5,4,71.826
e2,Female,grasping,Real Tail,AB,5,5,71.8836
g1,Male,grasping,Real Tail,AB,5,1,77.5732
g1,Male,grasping,Real Tail,AB,5,2,78.4176
g1,Male,grasping,Real Tail,AB,5,3,76.1371
g1,Male,grasping,Real Tail,AB,5,4,78.206
g1,Male,grasping,Real Tail,AB,5,5,76.7885
h1,Male,grasping,Real Tail,AB,5,1,69.9783
h1,Male,grasping,Real Tail,AB,5,2,70.1311
h1,Male,grasping,Real Tail,AB,5,3,69.5051
h1,Male,grasping,Real Tail,AB,5,4,69.6838
h1,Male,grasping,Real Tail,AB,5,5,69.9099
b2,Female,grasping,Real Tail,AB,6,1,76.7358
b2,Female,grasping,Real Tail,AB,6,2,77.0655
b2,Female,grasping,Real Tail,AB,6,3,77.3881
b2,Female,grasping,Real Tail,AB,6,4,78.0198
b2,Female,grasping,Real Tail,AB,6,5,78.6907
e2,Female,grasping,Real Tail,AB,6,1,75.2495
e2,Female,grasping,Real Tail,AB,6,2,76.1166
e2,Female,grasping,Real Tail,AB,6,3,75.0948
e2,Female,grasping,Real Tail,AB,6,4,72.5759
e2,Female,grasping,Real Tail,AB,6,5,75.837
g1,Male,grasping,Real Tail,AB,6,1,78.604
g1,Male,grasping,Real Tail,AB,6,2,80.1903
g1,Male,grasping,Real Tail,AB,6,3,76.1973
g1,Male,grasping,Real Tail,AB,6,4,75.0826
g1,Male,grasping,Real Tail,AB,6,5,75.9208
h1,Male,grasping,Real Tail,AB,6,1,75.5056
h1,Male,grasping,Real Tail,AB,6,2,73.8193
h1,Male,grasping,Real Tail,AB,6,3,73.9418
h1,Male,grasping,Real Tail,AB,6,4,76.386
h1,Male,grasping,Real Tail,AB,6,5,75.4603
