sex,day,file.name,trial,trial.recording.duration,trial.recording.start,video.recording.start,elongation
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.c2.MTS,Trial   152,+ 00:00:30.063,03/10/2022 13:03:17.715,03/10/2022 12:58:36.000,72.5475
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d1.MTS,Trial   153,+ 00:00:30.063,03/10/2022 13:04:27.003,03/10/2022 13:04:24.000,66.8622
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d1.MTS,Trial   154,+ 00:00:30.063,03/10/2022 13:04:57.200,03/10/2022 13:04:24.000,66.4934
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d1.MTS,Trial   155,+ 00:00:30.063,03/10/2022 13:05:27.363,03/10/2022 13:04:24.000,67.643
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d1.MTS,Trial   156,+ 00:00:30.063,03/10/2022 13:05:57.527,03/10/2022 13:04:24.000,66.769
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d1.MTS,Trial   157,+ 00:00:30.063,03/10/2022 13:06:27.724,03/10/2022 13:04:24.000,67.5467
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d1.MTS,Trial   158,+ 00:00:30.063,03/10/2022 13:06:57.887,03/10/2022 13:04:24.000,66.8924
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d2.MTS,Trial   159,+ 00:00:30.063,03/10/2022 13:09:02.803,03/10/2022 13:09:00.000,68.0408
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d2.MTS,Trial   160,+ 00:00:30.063,03/10/2022 13:09:32.933,03/10/2022 13:09:00.000,69.3526
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d2.MTS,Trial   161,+ 00:00:30.063,03/10/2022 13:10:03.096,03/10/2022 13:09:00.000,68.4292
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d2.MTS,Trial   162,+ 00:00:30.063,03/10/2022 13:10:33.227,03/10/2022 13:09:00.000,67.0704
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d2.MTS,Trial   163,+ 00:00:24.558,03/10/2022 13:11:03.390,03/10/2022 13:09:00.000,68.8905
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.d2.MTS,Trial   164,+ 00:00:24.157,03/10/2022 13:11:42.029,03/10/2022 13:09:00.000,68.7788
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e1.MTS,Trial   165,+ 00:00:30.063,03/10/2022 13:16:50.402,03/10/2022 13:16:48.000,70.9303
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e1.MTS,Trial   166,+ 00:00:06.507,03/10/2022 13:17:20.566,03/10/2022 13:16:48.000,67.1365
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e1.MTS,Trial   167,+ 00:00:19.553,03/10/2022 13:18:21.594,03/10/2022 13:16:48.000,71.2126
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e1.MTS,Trial   168,+ 00:00:26.059,03/10/2022 13:19:22.021,03/10/2022 13:16:48.000,68.9004
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e1.MTS,Trial   169,+ 00:00:30.063,03/10/2022 13:20:05.497,03/10/2022 13:16:48.000,70.8216
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e1.MTS,Trial   170,+ 00:00:25.592,03/10/2022 13:20:35.661,03/10/2022 13:16:48.000,71.4463
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e2.MTS,Trial   171,+ 00:00:30.063,03/10/2022 13:21:22.736,03/10/2022 13:21:20.000,70.5721
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e2.MTS,Trial   172,+ 00:00:30.063,03/10/2022 13:21:52.866,03/10/2022 13:21:20.000,70.6552
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e2.MTS,Trial   173,+ 00:00:30.063,03/10/2022 13:22:26.867,03/10/2022 13:21:20.000,71.4047
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e2.MTS,Trial   174,+ 00:00:26.793,03/10/2022 13:22:57.030,03/10/2022 13:21:20.000,68.981
Female,4,D:\Rubber Tail Illusion\MATLAB\HABITUATION.VIDEOS\phase1.day4.e2.MTS,Trial   175,+ 00:00:30.063,03/10/2022 13:23:55.589,03/10/2022 13:21:20.000,71.7414
